task_id,task_name,task_source,task_class_count,task_type,text_col,label_col,task_hf_dataset_name,task_hf_subset_name,task_hf_url,task_instruction,task_criticalness
1,cardiffnlp/tweet_eval@emoji,hf,20,test,text,label,cardiffnlp/tweet_eval,emoji,https://huggingface.co/datasets/cardiffnlp/tweet_eval,"Classify the given social media post into one of the following categories based on its sentiment or theme: 💙 (Love), 🔥 (Excitement), ❤ (Affection), 😂 (Humor), ☀ (Summer/Positive Vibes), 😍 (Admiration), 📸 (Photography), 😊 (Happiness), 😎 (Coolness), 📷 (Photography), 🇸 (Patriotism), 😜 (Playfulness), 😘 (Affection), 💜 (Love), 💕 (Romantic Love), 🎄 (Christmas), ✨ (Inspiration), 😁 (Joy), 😉 (Wink), 💯 (Authenticity).",High Criticalness
2,cardiffnlp/tweet_eval@emotion,hf,4,test,text,label,cardiffnlp/tweet_eval,emotion,https://huggingface.co/datasets/cardiffnlp/tweet_eval,"Classify the given text samples into one of the following emotional categories: 'optimism', 'anger', 'joy', or 'sadness'.",High Criticalness
3,cardiffnlp/tweet_eval@hate,hf,2,test,text,label,cardiffnlp/tweet_eval,hate,https://huggingface.co/datasets/cardiffnlp/tweet_eval,"Classify the given text as either 'hate' if it contains derogatory or aggressive language, or 'non-hate' if it does not.",High Criticalness
4,cardiffnlp/tweet_eval@irony,hf,2,test,text,label,cardiffnlp/tweet_eval,irony,https://huggingface.co/datasets/cardiffnlp/tweet_eval,Classify the given social media text as either 'irony' or 'non_irony' based on whether the statement conveys sarcasm or a literal meaning.,High Criticalness
5,cardiffnlp/tweet_eval@offensive,hf,2,test,text,label,cardiffnlp/tweet_eval,offensive,https://huggingface.co/datasets/cardiffnlp/tweet_eval,Classify each social media comment as either 'offensive' or 'non-offensive' based on the presence of derogatory language or personal attacks.,Medium Criticalness
6,cardiffnlp/tweet_eval@sentiment,hf,3,test,text,label,cardiffnlp/tweet_eval,sentiment,https://huggingface.co/datasets/cardiffnlp/tweet_eval,"Classify the given text samples into one of the following sentiment categories: 'neutral', 'positive', or 'negative'.",High Criticalness
7,dair-ai/emotion@split,hf,6,test,text,label,dair-ai/emotion,split,https://huggingface.co/datasets/dair-ai/emotion,"Classify the given text into one of the following emotion categories: sadness, joy, fear, anger, love, or surprise based on the emotional content expressed in the text.",Low Criticalness
8,google-research-datasets/poem_sentiment,hf,4,test,verse_text,label,google-research-datasets/poem_sentiment,,https://huggingface.co/datasets/google-research-datasets/poem_sentiment,"Classify the given sentences into one of the following sentiment categories: 'positive', 'negative', 'no impact', or 'mixed' based on their emotional tone.",High Criticalness
9,cornell-movie-review-data/rotten_tomatoes,hf,2,test,text,label,cornell-movie-review-data/rotten_tomatoes,,https://huggingface.co/datasets/cornell-movie-review-data/rotten_tomatoes,Classify the sentiment of movie reviews as either positive (pos) or negative (neg).,High Criticalness
10,clinc/clinc_oos@plus,hf,151,test,text,intent,clinc/clinc_oos,plus,https://huggingface.co/datasets/clinc/clinc_oos,"Classify the user requests into the appropriate action labels such as shopping_list_update, do_you_have_pets, credit_limit_change, etc.",Medium Criticalness
11,climatebert/climate_detection,hf,2,test,text,label,climatebert/climate_detection,,https://huggingface.co/datasets/climatebert/climate_detection,Classify the given text samples as either 'climate-related' or 'not climate-related' based on their content regarding climate change and environmental issues.,Low Criticalness
12,climatebert/tcfd_recommendations,hf,5,test,text,label,climatebert/tcfd_recommendations,,https://huggingface.co/datasets/climatebert/tcfd_recommendations,"Classify the provided text samples into one of the following categories: 'risk', 'strategy', 'metrics', 'governance', or 'none (i.e., not climate-related)'.",High Criticalness
13,climatebert/climate_specificity,hf,2,test,text,label,climatebert/climate_specificity,,https://huggingface.co/datasets/climatebert/climate_specificity,"Classify the provided text samples into two categories: 'specific' for texts that detail concrete financial actions or commitments related to climate initiatives, and 'non-specific' for texts that discuss broader concepts without specific examples.",High Criticalness
14,climatebert/climate_commitments_actions,hf,2,test,text,label,climatebert/climate_commitments_actions,,https://huggingface.co/datasets/climatebert/climate_commitments_actions,Classify the given text as either 'talking about climate commitments and actions' or 'not talking about climate commitments and actions'.,Medium Criticalness
15,zeroshot/twitter-financial-news-sentiment,hf,2,test,text,label,zeroshot/twitter-financial-news-sentiment,,https://huggingface.co/datasets/zeroshot/twitter-financial-news-sentiment,"Classify the given financial news headlines into one of the following sentiment categories: 'Bullish', 'Bearish', or 'Neutral'.",Medium Criticalness
16,CogComp/trec,hf,6,test,text,coarse_label,CogComp/trec,,https://huggingface.co/datasets/CogComp/trec,"Classify the given questions into one of the following categories: 'Numeric value', 'Human being', 'Entity', 'Location', 'Abbreviation', or 'Description and abstract concept'.",Low Criticalness
17,stanfordnlp/sst2,hf,2,test,sentence,label,stanfordnlp/sst2,,https://huggingface.co/datasets/stanfordnlp/sst2,Classify the given movie review text as either 'positive' or 'negative' based on the sentiment expressed in the review.,Medium Criticalness
18,SemEvalWorkshop/emo,hf,4,test,text,label,SemEvalWorkshop/emo,,https://huggingface.co/datasets/SemEvalWorkshop/emo,"Classify the given text into one of the following emotional categories: 'sad', 'angry', 'happy', or 'others' based on the sentiment expressed in the text.",Low Criticalness
19,mteb/banking77,hf,77,test,text,label,mteb/banking77,,https://huggingface.co/datasets/mteb/banking77,"Classify the user inquiries into the following categories: pending_top_up, fiat_currency_support, transfer_not_received_by_recipient, age_limit, supported_cards_and_currencies, activate_my_card, verify_my_identity, change_pin, country_support, Refund_not_showing_up, balance_not_updated_after_bank_transfer, top_up_by_bank_transfer_charge, declined_cash_withdrawal, extra_charge_on_statement, unable_to_verify_identity, direct_debit_payment_not_recognised, card_payment_not_recognised, get_physical_card, receiving_money, lost_or_stolen_phone, pin_blocked, top_up_reverted, verify_top_up, declined_transfer, virtual_card_not_working, declined_card_payment, disposable_card_limits, card_payment_fee_charged, getting_spare_card, exchange_via_app, transaction_charged_twice, getting_virtual_card, card_arrival, lost_or_stolen_card, top_up_by_card_charge, apple_pay_or_google_pay, topping_up_by_card, card_about_to_expire, card_swallowed, cash_withdrawal_not_recognised, terminate_account, transfer_fee_charged, card_payment_wrong_exchange_rate, card_linking, wrong_amount_of_cash_received, pending_transfer, card_not_working, compromised_card, card_acceptance, cash_withdrawal_charge, cancel_transfer, failed_transfer, transfer_timing, request_refund, order_physical_card, passcode_forgotten, pending_card_payment, pending_cash_withdrawal, reverted_card_payment?, atm_support, visa_or_mastercard, top_up_by_cash_or_cheque, get_disposable_virtual_card, card_delivery_estimate, top_up_failed, wrong_exchange_rate_for_cash_withdrawal, balance_not_updated_after_cheque_or_cash_deposit, exchange_rate, top_up_limits, edit_personal_details, verify_source_of_funds, beneficiary_not_allowed, automatic_top_up, exchange_charge, transfer_into_account, why_verify_identity, contactless_not_working.",Low Criticalness
20,stanfordnlp/imdb,hf,2,test,text,label,stanfordnlp/imdb,,https://huggingface.co/datasets/stanfordnlp/imdb,Classify the given movie review text as either 'pos' for positive sentiment or 'neg' for negative sentiment.,Low Criticalness
21,ade-benchmark-corpus/ade_corpus_v2@Ade_corpus_v2_classification,hf,2,test,text,label,ade-benchmark-corpus/ade_corpus_v2,Ade_corpus_v2_classification,https://huggingface.co/datasets/ade-benchmark-corpus/ade_corpus_v2,Classify the provided medical text into one of the following categories: 'Adverse Drug Reaction Related' or 'Adverse Drug Reaction Not-Related'.,Low Criticalness
22,iastate/onestop_english,hf,3,test,text,label,iastate/onestop_english,,https://huggingface.co/datasets/iastate/onestop_english,"Classify the given news article texts into one of the following categories: 'Advance', 'Elementary', or 'Intermediate' based on the complexity and depth of the content.",Medium Criticalness
23,ucirvine/sms_spam,hf,2,test,sms,label,ucirvine/sms_spam,,https://huggingface.co/datasets/ucirvine/sms_spam,"Classify the given text messages as either 'spam' or 'ham' based on their content, where 'spam' refers to unsolicited promotional messages and 'ham' refers to personal or non-promotional messages.",Low Criticalness
24,sonos-nlu-benchmark/snips_built_in_intents,hf,10,test,text,label,sonos-nlu-benchmark/snips_built_in_intents,,https://huggingface.co/datasets/sonos-nlu-benchmark/snips_built_in_intents,"Classify the user queries into one of the following categories: ComparePlaces, GetPlaceDetails, GetDirections, BookRestaurant, ShareCurrentLocation, SearchPlace, GetWeather, RequestRide, GetTrafficInformation, ShareETA.",High Criticalness
25,Abhi0072/HateXplain,hf,3,test,text,label,Abhi0072/HateXplain,,https://huggingface.co/datasets/Abhi0072/HateXplain,"Classify the given text samples into one of the following categories: 'normal', 'offensive', or 'hatespeech' based on the presence of derogatory or harmful language.",Low Criticalness
26,odegiber/hate_speech18,hf,4,test,text,label,odegiber/hate_speech18,,https://huggingface.co/datasets/odegiber/hate_speech18,"Classify the given text into one of the following categories: 'hate' for posts containing hate speech, 'noHate' for posts without hate speech, and 'relation' for posts that do not contain hate speech on their own but contribute to a broader context of hate when combined with other sentences.",Low Criticalness
27,tdavidson/hate_speech_offensive,hf,3,test,tweet,class,tdavidson/hate_speech_offensive,,https://huggingface.co/datasets/tdavidson/hate_speech_offensive,"Classify the given text samples into one of the following categories: 'hate-speech', 'offensive-language', or 'neither'.",Low Criticalness
28,Yelp/yelp_review_full,hf,5,test,text,label,Yelp/yelp_review_full,,https://huggingface.co/datasets/Yelp/yelp_review_full,"Classify the given restaurant review text into one of the following star ratings: '1 star', '2 stars', '3 stars', '4 stars', or '5 stars' based on the sentiment expressed in the review.",Medium Criticalness
29,SetFit/go_emotions,hf,28,test,text,"admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral",SetFit/go_emotions,,https://huggingface.co/datasets/SetFit/go_emotions,"Classify the given text inputs into one of the following emotional categories: approval, neutral, nervousness, disgust, embarrassment, admiration, curiosity, sadness, optimism, fear, annoyance, joy, amusement, confusion, love, gratitude, caring, disapproval, anger, excitement, surprise, disappointment, desire, pride, remorse, realization, grief, or relief based on the sentiment expressed in the text.",High Criticalness
30,sh0416/ag_news,hf,4,test,"title,description",label,sh0416/ag_news,,https://huggingface.co/datasets/sh0416/ag_news,"Classify the given news article snippets into one of the following categories: Business, World, Sports, or Sci/Tech.",Low Criticalness
31,liaad/newspop,hf,4,test,"title, headline",topic,liaad/newspop,,https://huggingface.co/datasets/liaad/newspop,"Classify the given news article into one of the following categories: 'economy', 'obama', 'palestine', or 'microsoft'.",Low Criticalness
32,toxigen/toxigen-data@annotated,hf,5,test,text,factual?,toxigen/toxigen-data,annotated,https://huggingface.co/datasets/toxigen/toxigen-data,"Classify the given text samples into one of the following categories: 'opinion', 'neither factual nor opinion', 'factual', 'both factual and opinion', or 'disagreement'.",Low Criticalness
33,google-research-datasets/google_wellformed_query,hf,11,test,content,rating,google-research-datasets/google_wellformed_query,,https://huggingface.co/datasets/google-research-datasets/google_wellformed_query,"Classify each question based on its complexity or specificity using a numerical label from 0.0 to 1.0, where 1.0 indicates straightforward questions and lower values indicate more complex inquiries.",High Criticalness
34,SetFit/enron_spam,hf,2,test,text,label,SetFit/enron_spam,,https://huggingface.co/datasets/SetFit/enron_spam,Classify the given email messages as either 'ham' for legitimate emails or 'spam' for unsolicited or irrelevant emails.,Low Criticalness
35,zefang-liu/phishing-email-dataset,hf,2,test,Email Text,Email Type,zefang-liu/phishing-email-dataset,,https://huggingface.co/datasets/zefang-liu/phishing-email-dataset,Classify the given email messages as either 'Phishing Email' or 'Safe Email' based on their content and intent.,Low Criticalness
36,fancyzhx/amazon_polarity,hf,2,test,"title,content",label,fancyzhx/amazon_polarity,,https://huggingface.co/datasets/fancyzhx/amazon_polarity,Classify the given text reviews as either 'positive' or 'negative' based on the sentiment expressed in the review.,Low Criticalness
37,fancyzhx/dbpedia_14,hf,14,test,"title,content",label,fancyzhx/dbpedia_14,,https://huggingface.co/datasets/fancyzhx/dbpedia_14,"Classify the given text samples into one of the following categories: Office Holder, Natural Place, Written Work, Plant, Mean Of Transportation, Artist, Village, Building, Company, Album, Athlete, Film, Animal, Educational Institution.",Low Criticalness
38,community-datasets/yahoo_answers_topics,hf,10,test,"question_title,question_content",topic,community-datasets/yahoo_answers_topics,,https://huggingface.co/datasets/community-datasets/yahoo_answers_topics,"Classify the given text into one of the following categories: Society & Culture, Sports, Entertainment & Music, Family & Relationships, Business & Finance, Health, Politics & Government, Education & Reference, Computers & Internet, Science & Mathematics.",Medium Criticalness
39,nyu-mll/glue@cola,hf,2,test,sentence,label,nyu-mll/glue,cola,https://huggingface.co/datasets/nyu-mll/glue,Classify each input sentence as either 'acceptable' or 'unacceptable' based on its grammatical correctness and coherence.,High Criticalness
40,armanc/pubmed-rct20k,hf,5,test,text,label,armanc/pubmed-rct20k,,https://huggingface.co/datasets/armanc/pubmed-rct20k,"Classify the given text samples into one of the following categories: 'methods', 'results', 'conclusions', or 'background'.",Low Criticalness
41,coastalchp/ledgar,hf,100,test,text,label,coastalchp/ledgar,,https://huggingface.co/datasets/coastalchp/ledgar,"Classify the provided legal text into one of the following categories: Litigations, Survival, Assignments, Counterparts, Definitions, Capitalization, Miscellaneous, Terminations, Effective Dates, Governing Laws, Severability, Amendments, Expenses, Warranties, Authority, Employment, Sales, Entire Agreements, General, Notices, Waivers, Indemnity, Construction, Payments, Liens, Financial Statements, Indemnifications, Binding Effects, Cooperation, Records, Submission To Jurisdiction, Disclosures, Interests, Intellectual Property, Authorizations, Employment, Vacations, Terms, Waiver Of Jury Trials, Defined Terms, Further Assurances, Benefits, Publicity, Titles, Use Of Proceeds, Base Salary, Insurances, Arbitration, Modifications, Enforcements, Withholdings, Headings, Tax Withholdings, No Conflicts, Integration, Enforceability, Existence, Forfeitures, Death, Change In Control, Approvals, Compliance With Laws, Duties, Applicable Laws, Interpretations, Successors, No Defaults, Erisa, Transactions With Affiliates, Disability, Representations, Anti-Corruption Laws, Jurisdictions, Brokers, Consents, Effectiveness, Powers, Assigns, Organizations, Agreements, Positions, Vacations, Venues, Sanctions, Costs, Qualifications.",Low Criticalness
